variant,sharpe,nw_sharpe,total_return,max_drawdown,trades,win_rate,mcpt_pvalue,mcpt_status
Baseline (v1.0),0.6080350496165042,-2.522497042204198,5.572898880728229,-4.238526360641035,76,19.985974754558207,,SKIPPED
E1: Regime Transitions,0.6102995493334923,-2.520399127964655,5.59420538187126,-4.23852635039901,76,19.985974754558207,,SKIPPED
E2: Term Structure Leverage,0.7238649381122829,-2.3969325894159113,6.705155809128148,-4.238525893087938,76,20.05610098176718,,SKIPPED
E3: Vol-of-Vol (VVIX),0.4077010336797143,-3.1351373650778247,3.0131982681003864,-4.238527556293546,76,19.845722300140253,,SKIPPED
E4: Intraday Vol Patterns,0.6080350496165042,-2.522497042204198,5.572898880728229,-4.238526360641035,76,19.985974754558207,,SKIPPED
E5: Dynamic Weighting,0.6080350496165042,-2.522497042204198,5.572898880728229,-4.238526360641035,76,19.985974754558207,,SKIPPED
E6: Asymmetric Profit,0.6080350496165042,-2.522497042204198,5.572898880728229,-4.238526360641035,76,19.985974754558207,,SKIPPED
E7a: Parkinson RV,1.500336786956004,-1.5950739134097163,14.613530953440002,-1.1453163162448998,80,18.37307152875175,,SKIPPED
E7b: Garman-Klass RV,1.1444134708338554,-1.2535094972123753,14.316248319566496,-2.409601058464934,78,17.11079943899018,,SKIPPED
E7c: Yang-Zhang RV,1.1897466759502253,-1.1065648751355528,15.632732259381473,-1.9289562561646316,85,19.775596072931275,,SKIPPED
E7d: Ensemble RV,1.1983822648336935,-0.8402068909313317,17.89433963174578,-1.928955839552178,85,18.723702664796633,,SKIPPED
